,primer,replicate,4,5,6,7,8,9
0,ApA,rep1,0.15397146274032636,270.46984945975316,3206.2093243811323,2702.4028520370016,1096.5869424331215,555.1301152110677
1,ApA,rep2,54.453680252077135,245.16844273790497,4051.1899590579146,4812.025961641568,3521.058243070069,645.4291369709609
2,ApA,rep3,40.75857159965767,204.02577118330515,3231.4939270160735,2682.4010601189025,1355.3952975419004,27.347418582006917
3,ApC,rep1,17.881949801133885,158.57788919193106,3049.709273243426,5011.971234448505,129.37710311085033,-124.50564481489313
4,ApC,rep2,37.74776519756875,299.8904784641325,3748.7752501600876,7070.634930437831,2676.1588250605573,196.92939498549546
5,ApC,rep3,2.369785061993327,212.95584072679708,2983.2127956596473,4419.254352478914,724.4417625584246,-188.25714696317857
6,ApG,rep1,27.579948366649184,184.45732680088477,5516.900539235034,8679.927745767436,5232.399823080806,1290.7036944102738
7,ApG,rep2,13.761716557817543,206.87368063137922,6492.368669896236,10718.918976987014,5926.769010332098,1543.5798535831295
8,ApG,rep3,22.77907731363064,190.65580317299305,5285.018761878492,6947.55457174814,4160.86015102656,978.0028127278833
9,ApU,rep1,12.614474737055469,213.7350378928743,1766.4649957464458,1168.5137799301758,901.0370424018347,729.9113936304135
10,ApU,rep2,30.920056548988683,283.71848601924296,2378.442063888495,3080.7790745228385,2632.0239534549446,843.5708616984266
11,ApU,rep3,48.52288812451215,137.81333603810228,1752.977942130908,1196.121128498774,345.2583695012993,194.85794001169646
12,CpA,rep1,11.546638534667318,221.31008682500732,3268.580011936542,3928.0192263984163,1155.5520358994622,-9.261543262733536
13,CpA,rep2,6.532630083805817,264.63869052042594,3697.254495597245,4356.165177157542,1427.7371782352523,-37.31050106055066
14,CpA,rep3,10.87875934201334,220.3048213743943,3382.4658372651575,3938.689063544457,967.9747951172263,-28.042432423202843
15,CpC,rep1,7.490288227591869,164.0755790697767,4344.621164956985,6328.804399854064,1240.8707368229402,-10.297460843111736
16,CpC,rep2,7.261467966394141,189.0661392892191,4905.25578422117,7044.156779591606,1067.6639964767,-23.692550492891556
17,CpC,rep3,16.79660045589173,173.88786984207673,4335.184975525281,6235.4980188250065,799.6155664047349,-72.32393240024231
18,CpG,rep1,6.979603799991327,289.43295113313,2902.440870501908,3777.7108136740026,744.0107265679475,70.06673886965233
19,CpG,rep2,6.8109926936970755,251.2344139639642,3272.8074423930075,4265.80590725337,723.2867602917715,88.26488904512304
20,CpG,rep3,8.758473200661337,234.6720137702789,2957.343913752171,3731.9114552390465,531.4649904456888,45.81408760904836
21,CpU,rep1,22.103225881253827,274.61481054720423,4042.8561288690107,3888.701544184974,989.8751098697458,4.226120390212513
22,CpU,rep2,31.666821029751812,285.53343305679925,4749.113973943073,4742.818106224334,1354.1592605609444,60.836165073459746
23,CpU,rep3,35.634339062189596,253.56484635944707,4132.254295271808,3611.6905844313583,890.2817708047037,-144.7849207913001
24,GpA,rep1,44.84773103281337,151.9708680045801,9588.728948352837,10965.283651648218,4993.727681552644,769.0228362850069
25,GpA,rep2,51.357546797756676,236.76578134345004,10864.23102574944,12509.115631029916,7325.122679638329,1329.7773286928048
26,GpA,rep3,27.156658904964434,207.1111624404584,9526.269178069131,8152.648464817547,3978.5496951678856,506.21762048672923
27,GpC,rep1,7.582390378722489,86.22934217710643,7901.148061617589,13086.721949760526,4964.848999368441,192.0579390612828
28,GpC,rep2,19.260675020561756,76.12767379972273,7985.098330064717,12852.361210128734,6716.863268898103,328.3604328922139
29,GpC,rep3,9.63183923354943,88.291623330139,7519.240183676976,10615.507303946633,3698.7589994844147,-288.5375883222572
30,GpG,rep1,20.240318968832288,490.1750169844643,29579.929356423607,31877.04170929415,8281.8256881898,720.3539884869367
31,GpG,rep2,19.251729156920096,478.8028892817573,31932.95392737766,32779.74286738689,9144.302464026418,599.6686496179823
32,GpG,rep3,41.94852295241424,409.19544709160095,28448.621853304572,27266.143777589416,6628.1334249850825,92.83086167800963
33,GpU,rep1,75.1600284820513,215.421745562492,7085.98788460134,10009.92510937795,4536.575254219567,529.9940740558899
34,GpU,rep2,63.32949278342804,392.58318398863025,7743.464987917512,12154.6339270162,7466.112871039196,715.4067526433508
35,GpU,rep3,60.672949888993315,206.10213910879042,6570.782475466112,7577.3712642057635,3266.2115955291433,-367.93702587745565
36,NpN,rep1,1067.3553410341722,12639.333077981042,154283.49732171727,188048.30986438194,58844.39732864244,6405.223971907106
37,NpN,rep2,1182.4553616301757,13494.970796715843,165610.61104417808,204066.93163384305,73819.7942483115,8122.735555325968
38,NpN,rep3,1078.2524447786304,12164.888390582932,146907.66315257383,163285.26718531045,47737.24963428002,2438.7793108731375
39,UpA,rep1,202.93603065496228,3920.701867337186,45414.281817771116,45581.005831384675,17014.49278011882,1308.841653315892
40,UpA,rep2,215.01312746852153,3995.2249923274685,46709.049017863494,46881.689267584385,16662.909169563787,1318.0348671923236
41,UpA,rep3,211.61061004850646,3873.7054714293836,42726.862392301045,42042.31620197924,15159.8729127285,1339.9116254767264
42,UpC,rep1,19.8054520015306,674.3628372656898,9321.904707577183,19819.45050963391,3192.99234580123,1.4002916133863976
43,UpC,rep2,54.95791516808574,644.062935457467,9623.936213399384,19844.40560264365,2937.9500879479924,56.057163443982525
44,UpC,rep3,25.02339657623211,639.607725800641,8907.172268872702,17310.492639601933,2160.7063229312453,-49.310648885966046
45,UpG,rep1,176.80707101884548,3464.715256096489,7439.685056673978,8661.083323393173,1838.0696513862908,234.89799483711764
46,UpG,rep2,148.81419690457957,3781.070656322889,8094.1636609228035,9269.152560438748,1959.6460408209618,239.39479944929596
47,UpG,rep3,145.34614210024188,3389.845560881704,7025.526723920895,7605.090670869983,1359.9141893281126,248.01548879058436
48,UpU,rep1,413.6262176853311,1859.0826136324752,9854.04917982913,12561.746183594829,2532.1554078189606,142.68178066071266
49,UpU,rep2,421.3155480002212,1864.208919511397,9362.50624172583,11684.52565379851,2278.0304388943737,218.42831159086023
50,UpU,rep3,370.36383091317896,1723.1489580328184,8123.235628462876,9952.576627415392,1709.809790725099,144.9751511740562
